61040,182
57533,335
66086,232
68663,210
67893,267
68694,83
72301,288
72615,379
72844,271
70616,286
66780,328
66557,223
71146,106
64497,165
68145,180
70623,50
70724,112
70271,185
74292,392
73095,333
73055,324
71789,199
66489,225
66709,160
72864,171
64376,132
69420,158
70154,108
75171,271
71154,135
76046,119
75705,182
73973,162
74007,112
69795,162
72574,121
78180,77
69567,97
74890,104
74412,108
78741,122
75906,149
79999,137
80755,249
77562,246
78692,102
74540,243
75156,100
79318,164
71881,182
78171,153
76320,81
79969,218
77148,132
80693,156
83061,235
81943,176
81124,78
77077,164
79441,186
82292,147
76766,130
81210,142
79755,73
80908,76
80548,170
85030,253
84977,121
85011,76
83295,207
77964,84
79486,102
84742,107
75992,57
81943,96
83410,129
83831,66
83202,162
88614,226
86359,107
86833,285
85826,247
80660,147
84309,81
83572,120
73897,137
79340,121
78843,63
83316,115
81408,125
89527,135
87739,78
90320,146
88599,101
80997,128
86051,104
85853,102
77066,163
82998,203
81856,170
85297,134
82397,152
91467,133
92118,76
90618,216
90667,157
83126,132
86354,233
87680,95
81469,79
83749,126
81719,95
85841,80
83451,133
90537,193
90906,244
89758,117
90438,271
85577,129
86107,200
88493,231
79755,66
87512,163
85254,118
86491,241
87266,225
91383,197
93066,242
92497,191
89180,279
84667,211
85243,83
90577,364
81334,161
87853,262
87312,234
86721,267
89532,110
93040,162
92467,435
92104,161
92270,225
88225,269
89870,129
91320,395
80924,576
87865,442
87207,564
87242,332
87313,603
93968,471
91793,487
92075,341
92997,336
85752,400
91580,272
91675,374
85021,190
89185,330
88047,366
91523,436
87541,489
94982,587
93720,433
95118,443
94630,379
87388,575
92326,493
91885,408
81794,416
89701,458
87369,533
91894,540
88833,417
94050,492
94487,434
92946,547
96066,452
89689,365
91104,403
90977,334
82851,439
90903,759
87981,374
92228,385
89773,613
93813,424
95200,256
93137,498
93524,453
90053,383
92234,509
92842,301
80875,385
89541,495
86281,274
87151,415
87165,483
90976,386
92455,597
92705,438
90770,517
83990,567
87779,271
94171,530
87080,514
93251,665
91581,544
91952,387
89451,470
97373,483
94517,546
95947,466
92463,309
90221,506
92714,469
96324,420
84712,329
92321,494
91416,409
95863,587
91671,459
99235,457
97381,420
95173,469
95853,578
89082,438
94579,530
98407,538
88750,480
95563,495
93832,693
98589,699
93373,580
102331,425
100775,461
99261,387
97586,498
90400,451
94988,599
